Step;TotalFishCaught;AverageFishCaughtPerDolphin;AverageDistanceToFish
141;30;6.0;6.99466329363288
142;30;6.0;6.60246338706821
143;30;6.0;6.047077124834297
144;30;6.0;5.661275051245811
145;30;6.0;5.31617848548911
146;30;6.0;5.617291394911026
147;30;6.0;5.3796191084279465
148;30;6.0;5.490713330599979
149;30;6.0;4.816335064455938
150;30;6.0;5.209288242905218
151;30;6.0;4.928663395418647
152;30;6.0;5.071511950137164
153;30;6.0;5.071511950137164
154;30;6.0;5.071511950137164
155;30;6.0;4.449773650511445
156;31;6.2;4.532616362986064
157;32;6.4;4.130056307974577
158;32;6.4;4.011506107893267
159;32;6.4;4.011506107893267
160;32;6.4;4.443961639926942
161;32;6.4;5.08884004612202
162;32;6.4;4.777696486862327
163;32;6.4;4.623090586418564
164;32;6.4;4.571236700413228
165;32;6.4;4.454079412887847
166;32;6.4;4.171236700413227
167;32;6.4;4.171236700413227
168;32;6.4;4.288393987938608
169;33;6.6;4.12658418790221
170;33;6.6;4.524717254934329
171;33;6.6;4.12658418790221
172;33;6.6;4.005551275463989
173;34;6.8;3.894348820367886
174;34;6.8;3.965685424949238
175;34;6.8;3.6961805934489442
176;34;6.8;3.513941596755321
177;34;6.8;3.631098884280702
178;34;6.8;3.775692551789215
179;34;6.8;3.6828427124746193
180;34;6.8;3.8928498393145956
181;34;6.8;3.631098884280702
182;34;6.8;3.775692551789215
183;34;6.8;3.8
184;34;6.8;3.8
185;34;6.8;3.452867504494749
186;34;6.8;3.8
187;34;6.8;3.452867504494749
188;34;6.8;3.3357102169693684
189;34;6.8;3.2828427124746193
190;34;6.8;3.4
191;34;6.8;2.973567521889361
192;34;6.8;3.4
193;34;6.8;3.4
194;34;6.8;3.2828427124746193
195;34;6.8;3.3732137494637016
196;34;6.8;3.090724809414742
197;34;6.8;3.090724809414742
198;34;6.8;2.808318915758459
199;34;6.8;2.52602916254693
